	Lexeme		Line Number		Token Name		ValueIfNumber		ParentNodeSymbol		isLeafNode		NodeSymbol
	;		33		TK_SEM		(null)		declaration		Yes		TK_SEM
	---		-2		---		(null)		declarations		No		declarations
	(null)		36		eps		(null)		declarations		Yes		eps
	---		-2		---		(null)		declarations		No		declarations
	b5		36		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		assignmentStmt		No		singleOrRecId
	(null)		36		eps		(null)		option_single_constructed		Yes		eps
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	---		-2		---		(null)		stmt		No		assignmentStmt
	<---		36		TK_ASSIGNOP		(null)		assignmentStmt		Yes		TK_ASSIGNOP
	1		36		TK_NUM		1		var		Yes		TK_NUM
	---		-2		---		(null)		factor		No		var
	---		-2		---		(null)		term		No		factor
	---		-2		---		(null)		arithmeticExpression		No		term
	(null)		36		eps		(null)		termPrime		Yes		eps
	---		-2		---		(null)		term		No		termPrime
	---		-2		---		(null)		assignmentStmt		No		arithmeticExpression
	(null)		36		eps		(null)		expPrime		Yes		eps
